RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Temp_water,pH,DO_mgL,DOSAT,RA_ms_av,RA_ms_di
3,0.875078,616,0,72,152,18,16,71,271,1033,27,83,9,0,0,0,0,187.86900000000003,22.5,6.59,NaN,84.0,0.5553241586834745,1.0787722176415084
4,1.30788,676,0,252,109,59,79,76,277,1093,24,100,2,1,0,0,0,325.995,20.9,6.6,NaN,95.596,0.6462973568079574,1.1971384559789549
3,0.386363,655,0,255,339,27,37,69,265,1136,24,96,2,1,0,0,0,36.702,11.3,4.0,NaN,94.3,0.5841582896966454,0.889296589330989
2,0.44333100000000003,644,0,115,284,19,34,70,269,1101,23,48,0,1,0,0,0,117.85600000000001,22.2,7.16,NaN,99.15,0.528259348519008,0.8505014382336934
1,0.302246,635,0,342,332,31,37,67,268,1117,23,100,0,0,0,0,0,17.71,20.05,6.14,NaN,80.5,0.7403076959787154,1.210978745235127
3,0.354887,671,0,356,322,24,16,70,265,1125,24,56,7,1,0,0,0,129.253,20.0,7.05,NaN,100.0,0.5366751830547666,0.8007307917386279
4,1.16068,687,51,637,257,82,64,71,271,1163,24,100,9,1,0,0,0,17.767,22.4,6.76,NaN,108.321,0.7032356217038574,1.1259499741754593
2,0.5219199999999999,736,0,558,367,88,86,66,271,1239,26,100,2,2,0,0,0,9.459,9.6,6.26,NaN,98.0,0.5660952169939347,1.085846696393128
3,0.678771,746,0,565,311,98,31,69,271,1216,26,100,4,2,0,0,0,19.007,11.4,6.48,NaN,105.0,0.5553726921810945,1.0531932932363826
3,0.678771,746,0,565,311,98,31,69,271,1216,26,100,4,2,0,0,0,19.007,19.4,6.83,NaN,102.0,0.5553726921810945,1.0531932932363826
2,0.409049,751,0,489,249,75,123,74,271,1190,25,100,2,2,0,0,0,29.197,14.2,6.585,NaN,103.5,0.5918496106912918,1.015572348327335
4,1.4420899999999999,738,595,374,111,53,34,80,272,1134,24,100,27,1,1,0,0,60.067,20.0,7.12,NaN,97.7,0.6626001413292893,1.2655918759478193
2,0.48218999999999995,732,0,518,271,80,68,70,272,1202,25,100,1,2,0,0,0,15.03,21.1,8.1,NaN,106.0,0.5474017345745144,1.0429403725814572
2,0.48218999999999995,732,0,518,271,80,68,70,272,1202,25,100,1,2,0,0,0,15.03,9.367032967030001,7.28466666667,NaN,86.99630337079999,0.5474017345745144,1.0429403725814572
5,3.4479800000000003,723,64,262,85,42,23,80,274,1118,24,94,2,1,0,0,0,422.531,26.0,6.46,NaN,96.5,0.8749507421515829,1.6515803863761305
2,0.263727,732,0,287,101,35,22,84,267,1114,22,100,7,2,0,0,0,110.185,14.6,6.785,NaN,92.95,0.5953531526655584,0.8807876187162536
3,0.514409,759,0,142,96,28,75,84,269,1132,23,80,8,2,0,0,0,453.75,16.3,6.57,NaN,97.0,0.6059833009570689,0.9859252118745961
3,0.625839,702,0,269,265,39,64,74,264,1128,25,100,1,1,0,0,0,0.594,19.9,5.49,NaN,100.0,0.6282662310370258,0.9066145391392613
1,0.22345500000000001,697,0,656,302,38,120,72,264,1155,23,100,5,1,0,0,0,19.855999999999998,7.7,5.78,NaN,93.0,0.6714953110113753,0.9653462505308831
4,1.42188,766,1715,39,69,12,53,91,266,1106,22,55,3,0,0,0,0,1188.8239999999998,21.6,6.38,NaN,93.1,0.8200027018865526,1.1568445143756259
2,0.362599,782,0,91,61,11,72,94,268,1113,23,0,0,0,0,0,0,2890.062,18.8,6.73,NaN,82.4,0.5944765428275733,0.8173543145388021
4,1.46232,801,164,261,72,41,29,92,268,1143,24,73,3,0,0,0,0,168.331,21.8,6.68,NaN,88.3,0.7248625298932376,1.1798381609480726
5,3.7770900000000003,818,243,113,32,23,6,96,266,1125,24,38,9,1,3,0,0,929.3580000000001,12.410874704500001,7.20847619048,NaN,93.22386018959999,0.9660346671201894,1.5954069095749983
1,0.274131,838,0,145,64,23,12,95,266,1150,24,85,16,0,5,0,0,63.68,17.65,6.085,NaN,77.25,0.8001198876704653,1.0822468513197419
2,0.42178999999999994,822,0,60,41,15,0,96,262,1134,25,100,22,1,5,0,0,811.8939999999999,13.275510204100001,7.52895833333,NaN,95.1542653061,0.586419257665987,0.7672675323841472
3,0.711021,827,0,85,38,14,17,96,263,1135,25,75,24,1,6,0,0,205.373,15.4142857143,7.50285714286,NaN,92.6857142857,0.7039218812619313,0.9322063113803934
4,0.785566,867,700,457,278,56,58,80,265,1228,24,100,1,1,0,0,0,32.832,17.3,6.41,NaN,98.0,0.7038520897313981,0.893806413394235
4,0.748488,873,75,405,230,51,78,82,264,1215,25,100,1,1,0,0,0,75.808,19.9,6.47,NaN,104.0,0.6537580191907897,0.9408333581331282
5,1.32912,896,500,60,80,29,14,95,260,1210,25,100,1,1,1,0,0,897.558,12.085106383,7.4612765957399985,NaN,101.914893617,0.7835028501173578,1.0648379639161611
3,0.584697,898,0,65,72,16,32,96,258,1212,24,93,6,0,1,0,0,909.378,13.1952380952,7.08658536585,NaN,99.3198292683,0.684899358470091,0.878653782247814
5,1.44547,852,321,140,50,21,28,96,264,1153,25,77,16,0,5,0,0,237.109,13.264285714300001,7.21625,NaN,93.1252727273,0.8402213072046483,1.1271543291346595
3,0.680737,857,63,55,28,14,28,98,258,1147,25,40,2,0,2,0,0,1133.017,14.0847222222,7.576944444439999,NaN,99.39218055559999,0.7289756308833383,0.9286115491070522
2,0.466792,872,0,218,64,33,57,100,253,1209,25,81,7,3,1,0,0,549.42,19.15,6.225,NaN,76.692,0.7437291415545333,0.8697339685507257
6,3.8658699999999997,855,232,387,74,49,5,98,252,1210,26,100,3,0,1,0,0,161.68200000000002,24.0,6.4,NaN,NaN,1.0242596126849415,1.5574006745494415
2,0.358077,827,0,289,143,43,42,91,252,1226,29,100,7,0,1,0,0,103.176,14.3,7.0,NaN,99.8095,0.6723833989422833,0.8299488822211014
4,0.684055,820,0,459,117,47,112,95,249,1236,28,100,7,0,1,0,0,117.34700000000001,12.2425531915,7.2995744680899985,NaN,99.0538510638,0.7358976023981341,0.8952551477170995
4,0.579091,892,0,247,78,29,12,99,253,1212,24,28,2,2,0,0,0,371.131,12.5461538462,7.48923076923,NaN,87.7769230769,0.6984583110256439,0.8514253247817489
4,0.766879,884,0,209,49,29,9,101,250,1191,25,76,7,1,1,0,0,827.066,14.2660377358,7.61188679245,NaN,93.3226415094,0.771311080650539,0.9373726521690807
2,0.32235,876,0,149,67,29,45,101,249,1193,24,100,8,1,3,0,0,239.13299999999998,16.1,6.66,NaN,89.5,0.8710346798543719,1.0151716596876204
1,0.15499300000000002,894,0,386,175,49,259,95,250,1240,25,100,0,0,1,0,0,63.196000000000005,18.8,6.78,NaN,95.6,0.2445104332140512,0.28756887428319233
1,0.142404,891,0,363,125,38,283,97,249,1221,25,100,1,0,1,0,0,335.245,18.3,6.92,NaN,73.1,0.2644241322243174,0.3062827786382055
2,0.47168000000000004,885,0,252,59,44,28,101,249,1187,25,100,4,1,0,0,0,914.285,19.0,7.1,NaN,90.1,0.7078918960230042,0.8394075744114435
3,0.607194,812,0,186,236,37,37,78,262,1111,32,93,7,2,0,0,0,46.916000000000004,15.0,7.95,NaN,NaN,0.5484154356738467,0.9561072427929979
2,0.304884,847,0,263,413,54,70,70,262,1177,28,100,1,1,0,0,0,17.136,13.5,8.0,NaN,98.0,0.4960394351350932,0.7959882810683447
3,0.501252,848,0,369,332,50,90,74,263,1162,29,100,5,2,0,0,0,19.372,18.45,7.34,NaN,96.5,0.559501062006413,0.8635465273620416
3,0.596621,854,0,297,267,45,40,78,262,1159,29,99,19,1,0,0,0,36.842,17.3,7.45,NaN,107.0,0.6721469233054788,0.9008276557342396
3,0.596621,854,0,297,267,45,40,78,262,1159,29,99,19,1,0,0,0,36.842,13.6,6.49,NaN,93.9,0.6721469233054788,0.9008276557342396
3,0.596621,854,0,297,267,45,40,78,262,1159,29,99,19,1,0,0,0,36.842,15.6,6.51,NaN,108.0,0.6721469233054788,0.9008276557342396
3,0.596621,854,0,297,267,45,40,78,262,1159,29,99,19,1,0,0,0,36.842,16.5,7.13,NaN,112.0,0.6721469233054788,0.9008276557342396
3,0.596621,854,0,297,267,45,40,78,262,1159,29,99,19,1,0,0,0,36.842,13.5,7.12,NaN,82.0,0.6721469233054788,0.9008276557342396
4,1.0227700000000002,820,0,358,183,68,11,88,258,1140,28,100,5,1,1,0,0,113.704,11.1175438596,8.00122807018,NaN,99.83282456139999,0.6620221435167802,1.090837130476258
5,1.7534299999999998,859,6,434,133,81,16,93,257,1162,28,100,3,0,1,0,0,75.969,13.2450980392,8.09,NaN,102.135098039,0.9254165362086505,1.0734466313612563
3,0.740744,869,1095,313,120,47,16,95,255,1187,28,100,7,0,1,0,0,334.02099999999996,12.0083333333,7.46833333333,NaN,71.75,0.79102445113623,0.9494927797614463
4,0.929149,889,60,328,145,71,23,93,255,1190,29,100,8,0,1,0,0,41.706,12.43,7.7666,NaN,101.510204082,0.7163008938912481,0.966649838149259
3,0.61342,904,0,406,122,43,18,95,253,1209,28,100,3,0,1,0,0,318.006,18.5,6.34,NaN,92.045,0.7087195723191178,0.8888333297191527
5,1.9758900000000001,902,91,440,116,60,64,98,250,1223,26,100,1,0,3,0,0,131.33,12.6630824373,7.650537634410001,NaN,88.0827338129,1.0030180128717772,1.0687097756959518
3,0.9035860000000001,907,0,425,172,74,25,91,256,1229,26,75,3,0,1,0,0,136.739,14.075999999999999,7.399,NaN,97.354,0.7287809213449861,0.9685337621939608
3,1.0992600000000001,902,0,539,117,79,32,97,251,1219,25,100,2,0,2,0,0,233.921,14.912962963,7.420740740739999,NaN,103.39245283,0.8045376614951704,1.0001642859249087
1,0.20794,880,0,209,46,17,72,104,246,1170,24,29,0,0,0,0,0,2732.103,13.2794117647,6.946470588239999,NaN,95.0179411765,0.8852077378831977,0.9805194727831386
2,0.260875,866,0,465,170,42,45,96,250,1239,29,100,0,0,2,0,0,104.512,12.9422222222,7.83088888889,NaN,97.3493636364,0.6678947252310883,0.7599991175627081
2,0.262766,860,0,296,98,34,92,101,249,1219,28,100,0,0,0,0,0,264.155,16.7,7.2,NaN,92.3,0.7556811025747134,0.8150560463484411
3,0.483209,849,0,256,82,31,51,102,248,1211,27,69,0,0,0,0,0,472.57,17.4,7.46,NaN,93.5,0.7482592394215317,0.8095875736475628
3,0.483209,849,0,256,82,31,51,102,248,1211,27,69,0,0,0,0,0,472.57,13.636776859500001,7.87202479339,NaN,103.32002092100001,0.7482592394215317,0.8095875736475628
2,0.377373,838,0,256,71,25,89,103,248,1206,27,2,1,0,0,0,0,481.316,15.0,7.5,NaN,94.8,0.6941513680804671,0.7425089681367378
2,0.47380900000000004,804,0,125,43,23,49,107,247,1194,27,16,0,0,0,0,0,2012.18,16.8,6.41,NaN,104.0,0.7632775094855198,0.8236063014014616
2,0.42116400000000004,797,0,143,31,21,12,110,239,1152,24,29,0,0,0,0,0,775.77,14.42,6.604,NaN,97.8823333333,0.5247398732515595,1.0793889223059312
3,0.613065,778,0,101,24,11,11,107,234,1140,28,85,14,1,9,0,0,164.93200000000002,13.1732484076,6.38344370861,NaN,88.4891818182,0.53138430488639,1.1805185409691958
3,0.657654,780,0,59,22,10,16,109,235,1154,22,53,2,0,0,0,0,304.96299999999997,13.7733333333,6.52,NaN,106.503608696,0.5309190341931221,1.482857647497498
1,0.230145,781,0,49,27,6,31,110,236,1165,23,82,4,0,0,0,0,950.934,18.45,6.61,NaN,106.57,0.5525573013873692,0.9285904732133824
2,0.387359,775,0,15,10,3,16,113,237,1145,27,96,0,0,0,0,0,748.998,16.6,7.3,NaN,99.04899999999999,0.4689795981500673,0.9085706330915222
2,0.37297800000000003,775,0,38,30,6,23,112,238,1140,27,8,0,0,0,0,0,980.1310000000001,16.0,7.0,NaN,60.038000000000004,0.4806151874399231,1.1468648123566418
3,0.41276499999999994,768,0,6,18,1,19,114,238,1129,27,0,0,0,0,0,0,2187.0660000000003,18.3,7.1,NaN,81.811,0.4818084818195389,1.0086742112217426
1,0.182039,764,0,7,14,2,23,114,238,1122,27,26,0,0,0,0,0,1801.8629999999998,15.0,6.7,NaN,52.578,0.5283927682497129,0.7786840795258927
2,0.389329,715,0,299,619,94,47,43,272,1075,55,100,0,0,0,0,0,0.0,14.65,6.82,NaN,89.25,0.6234452141298941,0.7799762715756441
3,0.647386,718,0,127,546,36,29,47,272,1049,53,100,0,0,0,0,0,0.0,15.4,6.67,NaN,95.8,0.6663963184364217,0.8128550583481482
