Sample_ID,Sample_Longitude,Sample_Latitude,Respiration_Rate_mg_per_L_per_H,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
600966,145.714453317,-38.556341508,-11.990171188716376,2.113206194369376,19.42469945198674,1.9651105705027976,0.21636803778378164,0.13537808364547596,0.029291490317300294
600003,145.714458984,-37.3183647456,-7.924725289103444,1.7204493484737895,19.38590349560104,1.8060595663891827,0.1761542487559982,0.12442092914129929,0.021917275302408862
600007,145.714537105,-37.2489189448,-7.385217340242087,1.72519901607262,19.38632559370524,1.982668808699019,0.1766405601539216,0.1365876851177163,0.024126925209320867
600469,145.714944334,-37.2352583027,-7.288323785000963,1.7276042545478454,19.386539785129905,2.4540355499414286,0.17688682894239724,0.1690605276546546,0.029904580636160305
601224,145.715,-37.1889999999,-5.5364829933880095,1.848399646024897,19.39767742879332,0.915899818606937,0.18925488933179668,0.06309709189672778,0.011941433144073421
601704,145.722398929,-41.0103352051,-3.988620902248576,2.059775569623434,19.418959389661183,1.2673286287656704,0.2108973556209882,0.08730731170381287,0.01841288116471149
601705,145.722709283,-41.0972063943,-4.579676954438118,1.9692688204517237,19.409567951587597,1.5670040861464534,0.20163050424763432,0.10795220046720275,0.021766456614843794
601404,145.722960814,-35.7898365991,-5.555858110467686,1.8463160574977104,19.397478995072188,3.3844118184944527,0.18904155380288457,0.23315491409608044,0.04407596723750112
601108,145.735259007,-37.4646568487,-4.426977223589959,1.9915833518248,19.41184464772368,2.192402901580227,0.20391525591082826,0.15103643929754618,0.03079863417121941
600769,145.735532129,-36.9893560814,-7.159053084363665,1.7315427627940772,19.386891156641838,1.01143022577947,0.1772900869412158,0.0696782602274139,0.01235326481363087
601409,145.735737475,-35.3523336389,-4.279828476263253,2.0138061265258584,19.414137207079943,3.598990049831551,0.2061906127449085,0.24793738495878584,0.05112236132702231
600507,145.743484084,-36.6898774796,-8.292743151943531,1.7256430629628752,19.38636511471,0.6813784979369181,0.17668602545427162,0.046940725205264745,0.008293770168459376
600197,145.743544656,-37.93936378,-3.5732279930071,2.1296321277920427,19.42649328571209,1.4741193403335109,0.21804986466508605,0.1015532939238239,0.022143681996383505
600511,145.743949549,-36.6559441438,-5.987521066296026,1.803971410627162,19.393494301709865,1.8824403794090179,0.18470594841878155,0.12968286617889968,0.023953196791239594
601957,145.759592632,-41.0847028432,-11.090571037931213,1.9709499519956235,19.40973858900125,1.4098632677557126,0.201802632804885,0.09712664022873882,0.01960041171365235
600473,145.768299397,-37.2397611131,-7.134428283379738,1.7323871707663234,19.3869665932948,2.2243052440692868,0.1773765446170123,0.15323421791356856,0.027180156090599077
601110,145.773026499,-37.5271798359,-3.774783762658324,2.095132493980684,19.42274153016063,3.566826089428746,0.21451749849470847,0.24572158326948618,0.05271157936912938
600150,145.777012085,-36.1519242381,-5.681625301917441,1.8331668213953125,19.39623182412392,2.411498424413026,0.18769522308446618,0.1661301100871847,0.031181828073861058
600125,145.785523648,-36.9684065316,-5.698024935050292,1.831500631158494,19.39607442092412,0.8999271947895485,0.18752462434541484,0.061996724703326095,0.011625912510637326
600443,145.826805157,-37.2897919742,-4.929276377375979,1.921183785419609,19.40474827245775,0.9643695887134324,0.1967071490613848,0.06643621422920559,0.013068478295458439
600149,145.831508251,-36.2684643267,-6.212980809788164,1.785069106993679,19.39174515346249,2.5361869941040793,0.1827705696764386,0.17472000821843905,0.03193367543595614
600134,145.872735439,-36.3435661399,-5.882437903291349,1.8135476067017933,19.394387417546,2.495618903590153,0.1856864408854521,0.1719252390927881,0.031924185745520216
601171,145.881271765,-38.6930002253,-9.443520808897176,1.784907343747439,19.39173026333278,2.3420196142681617,0.1827540069783603,0.16134365770503048,0.029486199946139317
600655,145.893546482,-37.8813168972,-3.8581148953307904,2.0811981886687656,19.42124337627771,1.7782978808585992,0.21309078570811282,0.12250840378913189,0.02610541201927286
300381,14.5896844193,57.5439566264,-8.04576816365159,1.7214039161496244,19.385988234357004,1.6685118650907331,0.17625198551992713,0.11494515485605891,0.020259311769275878
600332,145.93113716,-37.0269576045,-6.024843340301171,1.8006864071054394,19.39318900843353,0.8632191767250613,0.1843696017962883,0.059467879143901774,0.010964069197430969
601495,145.936557925,-30.0855213221,-4.602325570633476,1.9660254188978377,19.40923914860769,4.872131005802297,0.201298417188724,0.33564511266480984,0.06756482991655716
