Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
SP-33 -95.2857911 39.0926023 0.408 0.212 0.767 1 0.200467 16.59 16578.0308414 0.621218 235 0 159 321 24 35 125 283 125 968 116 968 819 108 819 -15 80 -15 4 19 4 0 0 64 64 19 19 1 1 0 0 0 0 0 0 26 26 51 51 22 22 23 23 75 19 75 0 0 5940 5940 0.332 0.332 6.128 6.128 0 0 744 700 230 230 69 69 0.051129 20.6882 934 32.4573831632 -95.2854166667 39.0926023006
SP-54 -122.641465 42.170556 0.590 0.166 1.116 1 0.187751 13.57 13574.7335037 0.832498 347 0 423 1157 147 515 80 174 80 696 111 696 523 80 523 -33 178 -33 17 44 17 88 88 6 6 28 28 4 4 0 0 0 0 0 0 13 13 31 31 56 56 52 52 59 70 58 0 0 746 746 1.770 1.770 32.047 32.028 2 2 1172 1200 254 254 106 106 0.047639 234.354 928 5.38841391562 -122.641412754 42.1705849091
SP-53 -122.716415 42.214651 4.817 1.402 9.118 3 0.670027 2.53 2528.8966229 6.93597 350 317 204 590 58 59 110 167 80 532 77 700 450 69 529 -56 169 -33 1 3 16 44 84 16 6 58 30 16 3 0 0 0 0 0 15 23 19 34 35 43 46 24 44 44 57 59 0 0 1665 1303 2.009 22.083 307.593 47.869 23 4 4317 900 2623 390 312 77 0.047639 1192.47 928 7.50881972362 -122.716414998 42.2145833941
SP-20 -121.167 37.58132 185.812 22.508 489.131 5 2.83099 7.84 7844.78004982 246.151 106 1222 19 15 1 5 164 175 131 281 54 478 238 40 365 -81 132 -58 0 2 11 9 46 99 28 2 22 88 29 0 0 0 0 0 21 18 17 34 32 47 50 11 22 20 35 36 0 2 813 3274 0.384 1520.081 12.487 45.715 0 2 1237 800 310 391 93 75 0.055768 90678 951 7.75554077047 -121.166999998 37.5812500486
SP-50 -94.526679 37.091254 0.150 0.055 0.243 1 0.115808 1.75 1749.42289678 0.732571 302 0 91 314 10 33 139 255 139 1092 89 1092 923 107 923 -10 108 -10 1 9 1 55 55 24 24 11 11 1 1 0 0 0 0 0 0 24 24 37 37 39 39 16 16 81 36 80 100 100 567 567 16.450 16.450 1041.723 1041.733 92 92 6300 6300 3949 3949 406 406 0.048272 772.71 906 1448.9923518 -94.5104166667 37.0916666667
SP-62 -78.7934 38.1986 0.344 0.116 0.884 1 0.179636 6.77 6775.73468365 0.815657 399 0 600 576 119 196 109 228 109 1088 35 1088 850 95 850 -1 106 -1 4 16 4 100 100 1 1 3 3 0 0 0 0 0 0 65 65 20 20 39 39 41 41 47 47 83 37 83 100 100 462 462 0.844 0.844 31.196 31.194 0 0 663 700 250 250 86 86 0.058068 54.7319 950 71.1094246452 -78.794036781 38.1982034677
SP-19 -116.2028288 43.605091 30.390 5.222 77.548 5 1.48169 3.19 3197.80339868 47.1865 146 1339 467 831 7 16 106 246 37 320 32 531 276 47 448 -72 153 -44 1 6 37 44 63 1 2 12 18 2 0 0 0 0 0 0 7 16 15 37 40 47 45 17 40 27 33 54 0 3 0 3412 11.745 59.706 1406.227 8.507 100 1 6300 200 11877 77 414 21 0.041841 3233.99 884 142.23126794 -116.202083333 43.60625
SP-24 -84.224084 33.665688 4.437 1.418 9.770 3 0.671581 3.52 3521.84376907 7.33778 520 0 124 257 24 17 161 205 160 1279 63 1288 979 98 979 -2 111 -1 0 1 0 20 16 0 0 0 0 0 0 0 0 0 0 0 0 18 19 34 34 49 46 32 27 78 41 79 0 0 1108 525 8.497 258.807 991.733 974.379 100 94 6237 6300 6453 7909 325 374 0.04558 12940.5 921 122.25456515 -84.2240839587 33.6645837276
SP-3 -99.161385 40.077165 22.367 7.192 73.305 6 1.44019 2.00 2004.4477248 44.9195 68 3156 152 598 12 15 104 296 100 599 89 479 512 76 410 -49 59 -60 6 34 6 0 1 47 57 42 32 21 14 0 0 0 0 0 0 26 20 43 38 31 42 20 16 44 5 33 100 5 6465 2016 0.001 92.106 0.096 1.719 0 0 575 100 64 81 124 54 0.051859 4838.39 939 973.058307429 -99.1645833333 40.06875
SP-69 -111.564533 41.875846 0.764 0.138 3.736 3 0.414919 6.24 6243.58995214 3.15112 84 0 590 2166 133 163 34 239 20 462 19 513 396 66 437 -49 152 -39 42 100 49 100 94 13 8 12 16 0 0 0 0 0 0 34 27 22 21 42 41 36 38 31 37 48 39 57 100 100 1591 1459 0.000 0.008 0.010 0.026 0 0 0 200 95 75 37 32 0.042655 0.287971 925 4.18803524507 -111.564583333 41.875846
