Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
CM_086-6 -121.433908 38.257823 66.581 6.647 174.302 5 1.94411 8.69 8693.91190942 97.4563 179 513 8 2 1 9 156 162 131 416 87 875 351 58 552 -70 160 -28 0 2 11 19 65 66 9 12 25 66 9 0 0 0 0 39 8 21 17 22 33 57 51 60 33 31 54 54 0 0 563 1685 1.511 198.765 41.703 37.777 0 2 1108 900 443 463 124 93 0.055768 12448.7 951 174.415722928 -121.433908211 38.256250252
CM_089-3 -116.831793 34.16866 0.146 0.010 0.654 1 0.156765 5.41 5401.73010868 0.745287 160 0 481 2672 174 972 56 155 56 761 121 761 548 71 548 -20 168 -20 28 75 28 100 100 2 2 12 12 0 0 0 0 0 0 86 86 11 11 28 28 61 61 58 58 63 67 63 0 0 6362 6364 0.010 0.010 0.387 0.387 0 0 550 600 39 38 23 23 0.055768 1.10489 951 32.1199740435 -116.831525131 34.1684749041
CM_050-1 -121.92941 45.79232 0.437 0.095 0.804 1 0.196746 4.16 4162.70905683 0.770433 1486 0 590 570 159 336 85 162 85 2437 404 2437 659 97 659 64 183 64 27 64 27 100 100 0 0 0 0 0 0 0 0 0 0 0 0 20 20 48 48 31 31 90 90 84 52 84 0 0 763 763 0.056 0.056 6.006 6.005 0 0 290 300 27 26 42 42 0.055867 4.65961 948 159.05427857 -121.929410059 45.7937500521
CM_087-6 -121.166009 37.580748 185.812 22.508 489.131 5 2.83099 7.84 7844.78004982 246.151 106 1222 19 15 1 5 164 175 131 281 54 478 238 40 365 -81 132 -58 0 2 11 9 46 99 28 2 22 88 29 0 0 0 0 0 21 18 17 34 32 47 50 11 22 20 35 36 0 2 813 3274 0.384 1520.081 12.487 45.715 0 2 1237 800 310 391 93 75 0.055768 90678 951 55.6640972976 -121.16600901 37.5812500646
CM_051-1 -121.928947 45.792427 0.437 0.095 0.804 1 0.196746 4.16 4162.70905683 0.770433 1486 0 590 570 159 336 85 162 85 2437 404 2437 659 97 659 64 183 64 27 64 27 100 100 0 0 0 0 0 0 0 0 0 0 0 0 20 20 48 48 31 31 90 90 84 52 84 0 0 763 763 0.056 0.056 6.006 6.005 0 0 290 300 27 26 42 42 0.055867 4.65961 948 147.154392406 -121.928947044 45.7937500606
CM_115-4 -92.161779 34.675166 1244.399 545.879 2070.391 7 4.67533 5.51 5499.66806996 899.462 383 899 16 74 4 4 166 233 128 1250 55 677 981 110 572 -4 120 -47 0 3 3 15 18 34 35 5 39 18 5 0 0 0 0 0 2 19 21 39 38 42 41 26 16 79 47 46 0 19 4654 1729 0.064 6912.099 4.350 17.354 0 1 2976 500 974 247 188 73 0.043032 343176 797 565.284026684 -92.15625 34.6729166667
CM_079-2 -81.64963 26.72027 154.391 127.115 178.293 5 1.983 3.93 3934.31596779 99.5232 363 2530 8 10 3 5 229 108 225 1310 192 1230 1109 87 1041 -18 98 -22 0 0 0 0 18 14 21 18 40 18 12 0 0 0 0 0 3 16 16 28 26 55 56 51 48 70 46 66 100 100 576 1667 0.390 1081.500 32.611 71.784 0 6 3928 1300 824 724 118 102 0.050123 62533.5 892 167.839303313 -81.6496299223 26.7187504264
CM_105-2 -107.05596 38.85626 0.321 0.058 1.291 1 0.188531 8.77 8774.74387264 1.14709 199 0 468 3161 145 310 -5 234 -5 589 26 589 484 76 484 -23 154 -23 51 99 51 100 100 1 1 18 18 1 1 0 0 7 7 2 2 12 12 36 36 52 52 63 63 68 41 68 0 0 1752 1751 0.581 0.581 11.454 11.453 0 0 483 500 129 129 37 37 0.055481 2.87818 951 1.07433319925 -107.055960001 38.8562503147
CM_109-3 -111.580198 41.950688 0.217 0.038 1.063 2 0.21507 6.93 6933.16609206 1.06883 81 0 794 2441 130 335 20 233 16 518 21 537 441 74 456 -38 157 -34 50 100 53 100 96 8 6 16 19 0 0 0 0 0 0 33 36 22 21 42 41 36 38 34 34 57 45 60 100 100 1564 1667 0.000 0.000 0.000 0.005 0 0 272 100 70 28 17 21 0.042588 0.023142 922 87.4319714722 -111.58125 41.9506880048
CM_117-2 -123.7629212 45.7124168 89.406 14.529 199.317 5 2.05924 2.16 2159.96179434 109.731 1932 0 786 188 223 42 94 103 89 2306 337 2170 678 84 663 64 167 60 23 65 23 100 99 1 1 0 0 0 0 0 0 0 0 0 0 19 16 51 45 30 39 118 108 89 40 86 0 0 1568 792 0.005 5.099 1.190 2.965 0 0 0 200 212 122 94 47 0.047639 240.735 928 32.2672778123 -123.7625825 45.7125829978
