Sample_ID,Sample_Longitude_avg,Sample_Latitude_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_avg,mean.error_avg,predict.error_avg,pca.dist_avg,mean.error.scaled_avg,pca.dist.scaled_avg,combined.metric_avg,Sample_Longitude_std,Sample_Latitude_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_std,mean.error_std,predict.error_std,pca.dist_std,mean.error.scaled_std,pca.dist.scaled_std,combined.metric_std,ensemble_spread_metric
CM_002-2,-77.388447,38.7819267,-137.20190640174374,73.47517943765033,934.5484116587222,0.1986212483351948,0.1725124219844752,0.0140219356406636,0.0024189580782812,0.0,0.0,44.965782238689954,16.62211353514677,210.2833796045255,0.0,0.0551255484229682,0.0,0.0007729668921431,0.0002348755657022459
CM_066-1,-68.445497,44.640715,-56.32823786588263,75.74289394921092,934.729848218724,0.2697478892771515,0.1777715900824962,0.0190432170492951,0.0033853429751392,0.0,0.0,24.313256536792085,17.58995165155228,210.36005879870365,0.0,0.0575416628869411,0.0,0.0010957783757333,0.00017247699088295383
CM_066-2,-68.445497,44.640715,-57.25629585515152,75.7100372456233,934.7271300627544,0.2697478892771515,0.1776893643425388,0.0190432170492951,0.0033837771325262,0.0,0.0,24.20969152502781,17.567850630299965,210.35848981781984,0.0,0.0574734711502528,0.0,0.0010944797856906,0.00017174230601822463
CM_066-3,-68.445497,44.640715,-56.05840905512629,75.75356710067757,934.73073428596,0.2697478892771515,0.1777966561825549,0.0190432170492951,0.0033858203143232,0.0,0.0,24.315292405763323,17.600083999803783,210.36080191171348,0.0,0.0575584661780099,0.0,0.0010960983644523,0.0001724914332326843
S19S_0073-M,-70.9167967,42.7694593,-86.78017474105744,74.81416812374195,934.6546978597092,0.3260212329682209,0.175676863600686,0.0230159098509711,0.0040433628555347,0.0,0.0,23.194638462198583,17.290995405869904,210.33701133275324,0.0,0.0567190892344795,0.0,0.0013054414446499,0.000198867343364148
S19S_0073-D,-70.9164986,42.7688065,-127.60329426117812,73.7482347025937,934.5700496669084,0.3260212329682209,0.1732161220177727,0.0230159098509711,0.0039867266490958,0.0,0.0,26.94393360470044,16.924972270435486,210.30689193831623,0.0,0.056138934451207,0.0,0.0012920886544585,0.0002310132362907659
CM_113-3,-119.97538,39.52207,-127.65295333262006,73.79924066841048,934.5743010193296,0.3331685458037553,0.1729299036317356,0.0235204840665879,0.0040673950430067,0.0,0.0,31.360958091627356,17.278656217763658,210.3345400760596,0.0,0.055251092256215,0.0,0.0012995324350738,0.00027477884546701827
CM_113-1,-119.97538,39.52207,-127.49400383766404,73.80578006018305,934.5748826453712,0.3331685458037553,0.1729633980323637,0.0235204840665879,0.004068182847523,0.0,0.0,31.2732299309952,17.28885744269151,210.33505636697257,0.0,0.0553791568253781,0.0,0.0013025445757323,0.00027401018774224405
CM_113-2,-119.97538,39.52207,-127.4713827317146,73.80322250268897,934.5746161780572,0.3331685458037553,0.1729427548288443,0.0235204840665879,0.0040676973093836,0.0,0.0,31.122951105334543,17.278371936145415,210.3345131570829,0.0,0.0552686599064782,0.0,0.0012999456347119,0.0002726934727971034
S19S_0082-D,-76.5465418,38.8748619,-108.10543135812304,74.23308286135594,934.6082720798802,0.4277838080675115,0.1740440471239483,0.0301999764633327,0.0052561261267263,0.0,0.0,33.135798782176416,17.10788178753993,210.32249396346657,0.0,0.0555116219974162,0.0,0.0016764496777634,0.00037277928031317
