,Sample_ID,gid,Sample_Longitude,Sample_Latitude
190,S19S_0034-U,64,-106.5233,35.868
191,S19S_0035-D,65,-110.757838,32.42735
192,S19S_0035-M,65,-110.758821,32.42728
193,S19S_0035-U,65,-110.759543,32.327329
194,S19S_0036-D,66,-119.271902,46.372515
195,S19S_0036-M,66,-119.271921,46.372735
196,S19S_0036-U,66,-119.271963,46.372753
197,S19S_0037-D,67,-75.7830393,39.8577967
198,S19S_0037-M,67,-75.7830477,39.8578837
199,S19S_0037-U,67,-75.7831181,39.8579143
200,S19S_0038-D,68,-75.7839486,39.8594333
201,S19S_0038-M,68,-75.7840693,39.8595115
202,S19S_0038-U,68,-75.784143,39.8595761
203,S19S_0039-D,69,-84.359197,35.966194
204,S19S_0039-M,69,-84.358455,35.966319
205,S19S_0039-U,69,-84.357361,35.966243
206,S19S_0040-D,70,-96.584725,39.087889
207,S19S_0040-M,70,-96.584798,39.087692
208,S19S_0040-U,70,-96.58479,39.08766
209,S19S_0041-D,71,-120.858196,44.299994
210,S19S_0041-M,71,-120.858255,44.300038
211,S19S_0041-U,71,-120.85829,44.300082
212,S19S_0042-D,72,-80.96434,25.40976
213,S19S_0042-M,72,-80.96423,25.40979
214,S19S_0042-U,72,-80.96423,25.40982
215,S19S_0043-D,73,-89.472992,43.14501
216,S19S_0043-M,73,-89.472023,43.145025
217,S19S_0044-D,74,-79.811134,33.131027
218,S19S_0044-M,74,-79.810626,33.130966
219,S19S_0044-U,74,-79.810168,33.130796
220,S19S_0047-D,75,-149.40333,68.64278
221,S19S_0047-M,75,-149.40339,68.64274
222,S19S_0047-U,75,-149.40346,68.6427
223,S19S_0050-D,76,-149.14198,68.66953
224,S19S_0050-M,76,-149.14041,68.66967
225,S19S_0050-U,76,-149.5972,68.62722
226,S19S_0051-D,77,-147.50267,65.1531
227,S19S_0051-M,77,-147.50249,65.15298
228,S19S_0051-U,77,-147.80559,64.85568
229,S19S_0052-D,78,-74.69563,42.13187
230,S19S_0052-M,78,-74.69546,42.13233
231,S19S_0052-U,78,-74.69548,42.13247
